Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Gambia,2018,4.922099113,7.676973343,0.684799969,56.70000076,0.718728781,0.440058738,0.691069543,0.758668125,0.3792077,0.757543445
Georgia,2018,4.659097195,9.564751625,0.617218554,64.57499695,0.7751441,-0.234125003,0.754853785,0.479062021,0.243778914,0.300006181
Germany,2018,7.118364334,10.88719082,0.919763148,70.69999695,0.8768875,0.031526014,0.495673954,0.740174949,0.243214577,0.592990577
Ghana,2018,5.003693104,8.578335762,0.760716796,57.625,0.816680491,0.060036652,0.846328497,0.715819657,0.250001252,0.623060167
Greece,2018,5.40928936,10.27990723,0.793500781,70.77500153,0.564455688,-0.335739225,0.860302389,0.563627839,0.255006582,0.157048658
Guatemala,2018,6.626591682,9.04336071,0.841107249,62.09999847,0.909538031,-0.011102872,0.765454412,0.827421427,0.262411267,0.45706442
Guinea,2018,5.25222683,7.823928833,0.630433142,52.84999847,0.731157243,0.092219159,0.778393805,0.727270722,0.4404383,0.59172374
Haiti,2018,3.614928007,8.060004234,0.537975907,55.5,0.591468394,0.379918069,0.720444739,0.580672979,0.358720034,0.367896646
Honduras,2018,5.908423901,8.644770622,0.827067018,62.57500076,0.872161686,0.098558784,0.803564787,0.82186228,0.287357897,0.398913682
Hungary,2018,5.935770988,10.34565926,0.940591395,67.05000305,0.692627072,-0.244881332,0.911277413,0.59467715,0.201082885,0.388044029
India,2018,3.818068743,8.782452583,0.638051987,60,0.890443385,0.08380115,0.80526334,0.590560198,0.357458085,0.753280878
Indonesia,2018,5.340295792,9.338885307,0.809378862,62.67499924,0.879374385,0.510791004,0.867729425,0.7960307,0.295986801,0.837602735
Iran,2018,4.278117657,9.508358002,0.673764706,66.15000153,0.603319883,0.082835652,0.703439772,0.481677294,0.493148893,0.549940705
Iraq,2018,4.8864007,9.264451981,0.763508916,62.22499847,0.597822785,-0.068688959,0.886699617,0.551774025,0.482026786,0.313324153
Ireland,2018,6.962335587,11.33530903,0.937862396,71,0.861471593,0.140902087,0.362210244,0.753603339,0.213050067,0.618405282
Israel,2018,6.92717886,10.5942173,0.90959543,72.25,0.724662304,0.052248515,0.770134807,0.611806214,0.28206256,0.422329724
Italy,2018,6.516526699,10.64651775,0.912656128,71.82499695,0.650009274,-0.023380011,0.887824833,0.597976208,0.402975351,0.206626192
Ivory Coast,2018,5.26837492,8.523866653,0.620882571,54.22499847,0.712590039,-0.050507963,0.790966868,0.658914387,0.385631382,0.535438716
Japan,2018,5.793575287,10.6411705,0.886431932,73.97499847,0.77347213,-0.264975011,0.686784506,0.649402797,0.185300156,0.384880394
Jordan,2018,4.638933659,9.211679459,0.799544334,67.59999847,0.762420297,-0.188075751,,,,
Kazakhstan,2018,6.00763607,10.14817142,0.936656713,64.59999847,0.84018296,-0.099979609,0.82378298,0.610876977,0.161542282,0.615031958
Kenya,2018,4.655702591,8.37539959,0.706719875,57.29999924,0.821412981,0.288690776,0.844244063,0.746773899,0.236920774,0.675367296
Kosovo,2018,6.391825676,9.28314209,0.82240653,,0.88973701,0.268570513,0.922078192,0.642223597,0.170248464,0.347546548
Kyrgyzstan,2018,5.297383308,8.543475151,0.898147821,65.27500153,0.94494766,0.266449153,0.907405317,0.616886437,0.203300148,0.497065544
